year, genre 
1963,Folk music
1982,New wave music
1982,Dark wave
1982,Electronic music
1982,Avant-garde
1992,Folk rock
1967,Opera
2002,Pop music
2002,Europop
2002,Eurodance
1997,Blues
1997,Country music
1997,Folk rock
1997,Pop rock
1967,Folk music
1935,Traditional pop music
1972,Pop music
1972,Rock music
1982,Pop music
1982,Synthpop
1968,Country music
1968,Pop music
1968,Soft rock
1968,Adult contemporary music
2003,Pop music
1957,Chanson
2004,Electropop
2004,Electronic rock
1965,Music of Sri Lanka
1994,Rhythm and blues
1994,Soul music
1994,Pop rock
2004,Germany
2004,Chanson
1957,Disco
1957,Funk
1957,Rock and roll
1957,Rhythm and blues
1957,Soul music
1957,Doo-wop
1970,Reggae
1926,Jazz
1979,Pop music
1979,Rock music
1995,Contemporary Christian music
1963,Rhythm and blues
1963,Soul music
1993,Synthpop
2003,Indie rock
2003,Alternative rock
2003,Pop punk
2003,Freestyle music
1971,Folk music
1971,Pop music
1971,Symphonic rock
1971,Progressive rock
1971,Classical music
1971,Contemporary Christian music
1971,Jesus music
2002,Pop music
1940,Rhythm and blues
1940,Jump blues
1976,New wave music
1976,Pop music
1976,Rock music
1976,Soul music
1976,Electronica
1976,Synthpop
1976,Blue-eyed soul
1976,Pop rock
1976,Contemporary R&B
1976,Jazz
1976,Adult contemporary music
1952,Jazz
1965,Musical theatre
1965,Opera
1965,Easy listening
2003,Pop music
2003,Electropop
2003,Contemporary R&B
2003,Dance music
1954,Blues
2006,Pop music
2006,Rhythm and blues
2006,Hip hop music
2006,Music of Morocco
2001,Hip hop music
2007,Trip hop
2007,Electronica
2007,Dream pop
2007,Neo soul
2009,Hip hop music
2006,Soul music
2006,Contemporary R&B
1996,Rhythm and blues
1996,Soul music
1996,Alternative rock
1996,Pop rock
1996,Post-grunge
1996,Adult contemporary music
1987,Culture of Egypt
2002,J-pop
2008,Rhythm and blues
2008,Kizomba
2001,Rock music
2008,Art rock
2008,Post-rock
2008,Indie rock
2008,Shoegazing
2008,Dream pop
2008,Indie pop
1977,Rock music
1977,Jazz
1977,Experimental music
1987,Hip hop music
2005,Folk music
2005,Folk rock
2005,Acoustic music
2008,Pop music
2008,Bollywood
2008,Easy listening
2008,Classical music
2008,Hindustani classical music
1968,Country music
2012,Gospel music
2012,Traditional black gospel
2012,Urban contemporary gospel
1975,Southern gospel
2004,Pop music
2004,Dance-pop
2004,Pop rock
1977,Free jazz
1977,Jazz
1977,Improvisation
1977,Contemporary classical music
2004,Neo soul
2004,Contemporary R&B
2004,Acoustic music
